recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Vitamin K µg,Vitamin A IU,Vitamin C mg,Folate µg,Manganese mg,Fiber g,Magnesium mg,Potassium mg,Copper mg,Iron mg,Vitamin B6 mg,Phosphorus mg,Vitamin B1 mg,Vitamin E mg,Zinc mg,Vitamin B2 mg,Vitamin B3 mg,Vitamin B5 mg,Calcium mg,Selenium µg,Vitamin B12 µg,Vitamin D µg,Alcohol g
640621,570.12,49.77,30.12,10.35,8.46,5.8,204.72,598.15,22.87,11.15,2632.92,12.14,20.6,0.28,1.89,51.69,726.87,0.14,1.96,0.79,307.61,0.12,2.87,1.27,0.31,9.73,1.86,152.34,29.47,0.55,0.99,
657095,446.47,15.87,1.61,48.54,45.2,3.21,184.41,359.14,28.04,14.55,573.4,11.86,18.27,1.1,3.35,72.54,657.13,0.63,2.22,0.25,348.57,0.09,3.11,2.46,0.08,1.45,0.67,135.99,7.86,,,
647795,148.17,10.99,1.53,11.61,8.24,5.85,0.0,1170.54,3.41,53.26,872.18,10.21,68.56,0.29,3.38,26.76,345.27,0.25,3.2,0.2,82.13,0.18,2.87,0.78,0.17,1.23,0.4,44.7,4.0,,,
660185,610.0,26.22,11.13,72.08,66.7,5.6,66.29,640.01,23.14,6.77,706.39,7.64,120.6,1.44,5.38,82.5,510.82,0.45,4.14,0.54,277.67,0.48,1.29,2.27,0.32,9.69,1.39,68.82,30.76,0.63,0.36,
644376,461.94,21.68,5.22,56.18,54.13,2.08,62.21,498.04,9.95,10.77,239.45,,147.98,0.5,2.05,18.42,112.97,0.12,3.42,0.07,121.05,0.62,2.76,0.74,0.44,4.4,0.57,38.74,28.06,0.22,0.34,
769533,202.29,14.77,3.59,11.22,7.76,4.7,163.68,265.79,7.89,14.84,866.48,65.93,103.04,0.82,3.46,39.77,365.63,0.2,2.22,0.33,161.14,0.11,2.18,1.22,0.26,6.52,0.85,107.23,15.08,0.39,0.88,
633650,784.21,48.15,12.23,75.3,69.28,8.88,27.26,388.42,14.39,23.87,401.97,14.69,119.51,0.76,6.02,40.59,384.71,0.25,3.98,0.32,143.93,0.56,1.05,1.03,0.42,7.0,0.44,32.8,35.3,0.07,,
641958,69.69,0.77,0.11,15.64,9.23,8.0,0.0,399.43,2.76,10.91,640.87,15.15,47.48,0.57,6.41,38.07,584.56,0.2,1.15,0.25,70.86,0.11,0.91,0.51,0.08,1.52,0.53,44.47,1.27,,,
642499,318.21,17.45,7.05,18.42,15.51,1.42,48.0,102.8,22.92,7.45,58.95,18.47,24.69,0.45,2.91,57.07,723.73,0.2,2.96,0.85,241.09,0.13,1.49,0.93,0.11,8.92,1.37,94.97,24.72,0.15,,
157459,274.57,9.88,4.42,30.24,27.76,4.64,51.21,120.44,15.69,5.77,1865.51,55.7,43.46,0.57,2.48,42.01,516.28,0.12,0.9,0.77,196.02,0.12,1.26,1.03,0.19,6.87,1.36,37.85,24.43,0.12,0.16,
640634,347.88,30.25,19.22,20.44,17.11,9.7,0.0,189.4,4.36,11.1,205.53,14.44,34.47,1.09,3.32,72.9,578.86,0.41,5.45,0.25,144.07,0.12,2.42,0.97,0.07,1.77,0.45,78.68,1.39,,,
658347,125.28,2.5,0.63,22.92,19.7,1.28,2.29,369.97,4.68,1.35,,,14.34,1.22,3.22,43.54,189.66,0.13,1.13,0.13,160.66,0.16,0.4,0.87,0.09,1.51,0.27,57.89,19.39,0.1,0.3,
636488,658.95,57.91,33.53,29.7,24.01,18.64,191.26,1832.31,11.19,24.3,3313.36,26.12,48.67,0.54,5.69,74.01,1187.16,0.46,3.46,0.47,269.65,0.22,5.96,1.48,0.52,3.23,1.65,289.38,6.9,0.78,2.49,
650606,370.26,23.32,8.81,18.47,15.51,7.75,80.51,504.68,22.12,12.2,300.47,13.38,26.27,0.45,2.96,47.34,662.62,0.29,4.01,0.58,228.87,0.14,2.05,5.2,0.23,6.22,0.96,72.98,19.58,2.43,,
773671,192.9,15.63,2.43,10.83,7.18,4.53,0.0,241.57,5.04,10.78,1206.86,39.28,43.18,0.49,3.65,38.87,413.86,0.38,1.44,0.26,116.2,0.13,2.45,0.87,0.25,3.4,0.98,58.57,6.68,,,
627874,93.71,0.78,0.2,8.67,6.71,4.76,6.25,283.36,13.59,5.48,834.84,7.77,30.95,0.25,1.95,30.86,306.41,0.09,1.33,0.11,187.29,0.05,,0.89,0.4,0.6,0.5,186.47,12.2,0.94,,
639803,140.37,6.62,5.46,3.69,2.98,0.9,134.17,143.21,17.76,,,14.57,66.86,0.35,0.71,47.24,338.99,0.41,1.71,0.06,216.32,0.02,,1.36,,6.03,,71.77,,,,
664575,50.69,2.93,0.97,5.02,3.83,2.94,3.93,19.56,1.64,7.64,385.63,20.31,11.29,0.1,1.19,10.52,159.73,0.04,0.39,0.1,38.47,0.04,0.65,0.25,0.05,0.32,0.16,50.89,,0.09,,
645769,208.24,15.96,2.13,14.58,11.18,10.37,6.5,1290.58,2.83,14.16,2599.06,112.55,47.89,0.42,3.4,22.74,301.25,0.07,0.84,0.27,73.61,0.08,3.67,0.59,0.16,1.0,0.5,82.57,1.24,0.19,,
652834,311.8,24.86,15.21,3.68,3.02,0.14,53.33,883.68,20.11,3.51,,1.88,14.34,0.65,0.65,60.55,492.13,0.21,3.26,0.65,255.07,0.08,0.99,0.98,0.09,9.2,1.3,37.9,26.84,0.17,,
660959,42.48,0.93,0.52,5.92,5.16,4.4,3.0,87.06,2.91,,63.03,2.52,8.57,0.08,0.76,12.88,149.46,0.03,0.66,0.06,78.81,0.03,,0.52,0.11,,0.31,104.56,1.77,0.28,,
651186,198.5,2.59,0.25,37.76,35.74,0.78,0.0,34.43,5.3,2.02,151.82,1.1,89.22,0.37,2.02,14.98,90.38,0.08,2.54,0.05,60.8,0.38,0.56,0.41,0.24,2.88,0.23,15.41,16.86,,,
1450327,444.82,20.7,12.61,51.5,49.74,2.23,54.82,603.21,13.14,1.11,268.91,0.94,119.16,0.48,1.75,22.14,170.05,0.11,3.22,0.1,202.84,0.51,0.29,0.81,0.49,3.85,0.51,203.81,27.79,0.49,0.16,
627875,102.88,4.02,2.58,12.45,10.28,8.9,15.93,401.6,4.69,,123.76,8.98,16.19,0.06,2.17,18.71,248.45,0.03,,0.09,127.99,0.05,,0.79,0.18,,0.53,157.56,2.9,0.45,,
659204,107.38,5.53,3.45,9.02,8.35,7.63,21.23,660.93,6.07,,488.77,3.25,20.05,0.12,0.67,28.25,307.88,0.05,0.91,0.06,163.97,0.06,,1.08,0.25,0.28,0.66,223.02,3.63,0.6,0.16,
