recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Manganese mg,Vitamin C mg,Magnesium mg,Phosphorus mg,Copper mg,Folate µg,Vitamin A IU,Fiber g,Vitamin B6 mg,Iron mg,Vitamin B1 mg,Zinc mg,Vitamin E mg,Vitamin B2 mg,Potassium mg,Calcium mg,Selenium µg,Vitamin B5 mg,Vitamin B3 mg,Vitamin K µg,Vitamin B12 µg,Vitamin D µg,Alcohol g
662346,702.9,32.13,13.99,76.53,70.56,14.31,75.4,1588.29,27.7,1.11,130.14,99.19,471.48,0.76,88.6,5394.11,5.97,0.77,3.76,0.47,3.56,3.97,0.66,1016.05,392.0,65.74,1.67,5.12,166.19,1.2,1.02,
663227,391.67,14.7,3.71,49.77,40.86,7.73,12.36,1289.24,15.65,1.53,42.44,141.44,319.94,0.63,176.58,9098.57,8.92,0.67,6.12,0.35,2.43,3.74,0.3,1435.07,217.89,7.94,0.97,4.49,190.77,0.21,,1.58
654928,885.04,48.75,17.01,72.52,67.73,6.63,101.01,1247.06,32.33,1.02,43.32,83.69,427.31,0.46,47.45,940.18,4.78,0.65,3.68,0.77,3.93,2.19,0.36,814.27,166.58,84.16,1.27,6.01,76.97,1.15,,3.27
631824,304.0,15.84,6.11,29.41,18.73,17.08,20.8,1235.14,16.43,0.93,23.79,85.52,330.8,0.56,78.44,723.74,10.67,0.54,3.43,0.25,1.76,4.24,0.29,1140.39,449.11,8.93,1.34,4.0,23.81,0.37,0.15,
643175,313.25,8.2,1.3,51.23,48.5,2.02,0.85,897.4,8.28,0.47,1.97,18.22,99.33,0.12,187.64,121.63,2.73,0.09,3.13,0.83,0.75,1.14,0.44,131.13,31.48,21.78,0.7,4.98,9.22,,,
157375,959.68,41.41,11.53,107.09,102.75,6.49,75.85,501.92,29.0,1.54,100.25,74.94,416.42,0.61,67.58,2687.08,4.34,0.81,2.71,0.25,3.24,4.74,0.56,760.56,188.02,38.05,3.34,10.39,18.46,0.39,0.45,5.15
648238,384.68,19.9,5.94,32.54,25.24,7.97,45.34,760.64,20.67,1.03,23.27,109.36,245.51,0.5,167.02,9760.48,7.29,0.59,5.69,0.4,2.82,3.21,0.38,1223.91,157.78,5.54,0.84,6.66,244.47,0.48,0.74,
715560,422.31,15.8,6.74,46.75,44.02,3.98,60.8,605.64,22.07,0.6,5.13,51.76,283.13,0.26,24.65,500.24,2.72,0.32,2.48,0.22,3.11,0.88,0.22,451.49,147.45,51.79,0.77,3.59,17.59,0.99,0.15,
650119,673.71,19.27,8.06,92.36,86.78,7.07,113.36,785.28,30.36,1.19,98.87,88.46,490.76,0.39,72.44,2860.76,5.57,0.55,2.74,0.23,3.09,1.75,0.34,551.62,347.23,88.87,1.34,3.69,37.27,0.61,0.65,
654935,575.63,11.67,4.58,99.18,90.97,12.91,15.81,1225.63,19.27,1.38,27.44,101.41,302.87,0.61,64.4,1250.68,8.22,0.4,3.91,0.25,2.43,3.46,0.24,954.28,58.74,72.44,1.11,4.51,16.87,,,
651646,601.36,23.11,10.4,73.12,55.18,11.75,69.03,2168.16,29.17,0.72,128.45,131.56,674.29,0.41,125.12,4805.5,17.95,0.76,5.83,0.34,3.75,3.0,0.51,955.42,435.67,15.8,1.11,4.57,10.48,0.51,0.26,
658024,356.08,16.49,7.39,33.95,26.45,9.56,30.71,1634.09,19.98,0.61,28.42,73.34,378.75,0.32,76.75,5375.35,7.51,0.4,2.51,0.24,2.0,1.64,0.24,745.28,434.47,19.42,0.75,2.59,43.66,0.44,0.21,
662264,619.5,20.45,9.7,85.08,75.71,16.12,35.22,1158.55,26.79,0.72,117.74,68.13,323.8,0.23,103.34,3278.54,9.38,0.55,4.91,0.22,2.16,2.42,0.3,795.58,466.81,10.21,1.12,2.6,37.4,0.94,0.19,
1096168,331.43,5.2,0.94,59.89,56.46,2.67,40.92,242.55,8.83,0.62,1.83,30.51,119.6,0.43,125.9,8103.42,3.43,0.19,3.51,0.54,0.78,0.8,0.4,284.89,36.62,25.13,0.91,4.03,3.4,0.1,0.22,0.77
657250,684.33,53.11,25.46,30.02,26.35,6.06,101.44,552.83,22.08,0.59,9.62,53.87,291.96,0.46,58.23,11207.25,3.66,0.18,2.64,0.09,2.34,3.11,0.36,405.78,410.22,27.94,0.82,1.71,108.92,1.3,0.29,
